,national_number,gen,english_name,japanese_name,classification,primary_type,secondary_type,description,col_name,egg_group,color,habitat,shape
155,156,II,Quilava,Magmarashi,Volcano Pokémon,fire,,Quilava keeps its foes at bay with the intensity of its flames and gusts of superheated air. This Pokémon applies its outstanding nimbleness to dodge attacks even while scorching the foe with flames.,,ground,yellow,grassland,quadruped
156,157,II,Typhlosion,Bakphoon,Volcano Pokémon,fire,,Typhlosion obscures itself behind a shimmering heat haze that it creates using its intensely hot flames. This Pokémon creates blazing explosive blasts that burn everything to cinders.,,ground,yellow,grassland,quadruped
157,158,II,Totodile,Waninoko,Big Jaw Pokémon,water,,"Despite the smallness of its body, Totodile’s jaws are very powerful. While the Pokémon may think it is just playfully nipping, its bite has enough power to cause serious injury.",,water1,blue,waters-edge,upright
158,159,II,Croconaw,Alligates,Big Jaw Pokémon,water,,"Once Croconaw has clamped its jaws on its foe, it will absolutely not let go. Because the tips of its fangs are forked back like barbed fishhooks, they become impossible to remove when they have sunk in.",,water1,blue,waters-edge,upright
159,160,II,Feraligatr,Ordile,Big Jaw Pokémon,water,,"Feraligatr intimidates its foes by opening its huge mouth. In battle, it will kick the ground hard with its thick and powerful hind legs to charge at the foe at an incredible speed.",,water1,blue,waters-edge,upright
160,161,II,Sentret,Otachi,Scout Pokémon,normal,,"When Sentret sleeps, it does so while another stands guard. The sentry wakes the others at the first sign of danger. When this Pokémon becomes separated from its pack, it becomes incapable of sleep due to fear.",,ground,brown,grassland,quadruped
161,162,II,Furret,Ootachi,Long Body Pokémon,normal,,"Furret has a very slim build. When under attack, it can slickly squirm through narrow spaces and get away. In spite of its short limbs, this Pokémon is very nimble and fleet.",,ground,brown,grassland,quadruped
162,163,II,Hoothoot,Hoho,Owl Pokémon,normal,flying,"It always stands on one foot. It changes feet so fast, the movement can rarely be seen.",,flying,brown,forest,wings
163,164,II,Noctowl,Yorunozuku,Owl Pokémon,normal,flying,Its eyes are specially developed to enable it to see clearly even in murky darkness and minimal light.,,flying,brown,forest,wings
164,165,II,Ledyba,Rediba,Five Star Pokémon,bug,flying,"This Pokémon is very sensitive to cold. In the warmth of Alola, it appears quite lively.",,bug,red,forest,wings
165,166,II,Ledian,Redian,Five Star Pokémon,bug,flying,"It’s said that the patterns on its back are related to the stars in the night sky, but the details of that relationship remain unclear.",,bug,red,forest,wings
166,167,II,Spinarak,Itomaru,String Spit Pokémon,bug,poison,"With threads from its mouth, it fashions sturdy webs that won’t break even if you set a rock on them.",,bug,green,forest,armor
167,168,II,Ariados,Ariados,Long Leg Pokémon,bug,poison,"Every night, it wanders around in search of prey, whose movements it restrains by spewing threads before it bites into them with its fangs.",,bug,red,forest,armor
168,169,II,Crobat,Crobat,Bat Pokémon,poison,flying,"Both of its legs have turned into wings. Without a sound, Crobat flies swiftly toward its prey and sinks its fangs into the nape of its target’s neck.",,flying,purple,cave,bug-wings
169,170,II,Chinchou,Chonchie,Angler Pokémon,water,electric,"Its antennae, which evolved from a fin, have both positive and negative charges flowing through them.",,water2,blue,sea,fish
170,171,II,Lanturn,Lantern,Light Pokémon,water,electric,The light it emits is so bright that it can illuminate the sea’s surface from a depth of over three miles.,,water2,blue,sea,fish
171,172,II,Pichu,Pichu,Tiny Mouse Pokémon,electric,,"Despite its small size, it can zap even adult humans. However, if it does so, it also surprises itself.",,no-eggs,yellow,forest,quadruped
172,173,II,Cleffa,Py,Star Shape Pokémon,fairy,,"According to local rumors, Cleffa are often seen in places where shooting stars have fallen.",,no-eggs,pink,mountain,upright
173,174,II,Igglybuff,Pupurin,Balloon Pokémon,normal,fairy,Igglybuff loves to sing. Its marshmallow-like body gives off a faint sweet smell.,,no-eggs,pink,grassland,humanoid
174,175,II,Togepi,Togepy,Spike Ball Pokémon,fairy,,The shell seems to be filled with joy. It is said that it will share good luck when treated kindly.,,no-eggs,white,forest,humanoid
175,176,II,Togetic,Togechick,Happiness Pokémon,fairy,flying,"They say that it will appear before kindhearted, caring people and shower them with happiness.",,fairy,white,forest,humanoid
176,177,II,Natu,Naty,Little Bird Pokémon,psychic,flying,It is extremely good at climbing tree trunks and likes to eat the new sprouts on the trees.,,flying,green,forest,wings
177,178,II,Xatu,Natio,Mystic Pokémon,psychic,flying,They say that it stays still and quiet because it is seeing both the past and future at the same time.,,flying,green,forest,wings
178,179,II,Mareep,Merriep,Wool Pokémon,electric,,"Clothing made from Mareep’s fleece is easily charged with static electricity, so a special process is used on it.",,ground,white,grassland,quadruped
179,180,II,Flaaffy,Mokoko,Wool Pokémon,electric,,"In the places on its body where fleece doesn’t grow, its skin is rubbery and doesn’t conduct electricity. Those spots are safe to touch.",,ground,pink,grassland,upright
180,181,II,Ampharos,Denryu,Light Pokémon,electric,,"The light from its tail can be seen from space. This is why you can always tell exactly where it is, which is why it usually keeps the light off.",,ground,yellow,grassland,upright
181,182,II,Bellossom,Kireihana,Flower Pokémon,grass,,"Plentiful in the tropics. When it dances, its petals rub together and make a pleasant ringing sound.",,plant,green,grassland,humanoid
182,183,II,Marill,Maril,Aquamouse Pokémon,water,fairy,This Pokémon uses its round tail as a float. The ball of Marill’s tail is filled with nutrients that have been turned into an oil.,,fairy,blue,waters-edge,upright
183,184,II,Azumarill,Marilli,Aquarabbit Pokémon,water,fairy,"It spends most of its time in the water. On sunny days, Azumarill floats on the surface of the water and sunbathes.",,fairy,blue,waters-edge,upright
184,185,II,Sudowoodo,Usokkie,Imitation Pokémon,rock,,"If a tree branch shakes when there is no wind, it’s a Sudowoodo, not a tree. It hides from the rain.",,mineral,brown,forest,humanoid
185,186,II,Politoed,Nyorotono,Frog Pokémon,water,,"At nightfall, these Pokémon appear on the shores of lakes. They announce their territorial claims by letting out cries that sound like shouting.",,water1,green,waters-edge,humanoid
186,187,II,Hoppip,Hanecco,Cottonweed Pokémon,grass,flying,"This Pokémon drifts and floats with the wind. If it senses the approach of strong winds, Hoppip links its leaves with other Hoppip to prepare against being blown away.",,plant,pink,grassland,upright
187,188,II,Skiploom,Popocco,Cottonweed Pokémon,grass,flying,"Skiploom’s flower blossoms when the temperature rises above 64 degrees Fahrenheit. How much the flower opens depends on the temperature. For that reason, this Pokémon is sometimes used as a thermometer.",,plant,green,grassland,upright
188,189,II,Jumpluff,Watacco,Cottonweed Pokémon,grass,flying,Jumpluff rides warm southern winds to cross the sea and fly to foreign lands. The Pokémon descends to the ground when it encounters cold air while it is floating.,,plant,blue,grassland,upright
189,190,II,Aipom,Eipam,Long Tail Pokémon,normal,,"As it did more and more with its tail, its hands became clumsy. It makes its nest high in the treetops.",,ground,purple,forest,upright
190,191,II,Sunkern,Himanuts,Seed Pokémon,grass,,"Sunkern tries to move as little as it possibly can. It does so because it tries to conserve all the nutrients it has stored in its body for its evolution. It will not eat a thing, subsisting only on morning dew.",,plant,yellow,grassland,ball
191,192,II,Sunflora,Kimawari,Sun Pokémon,grass,,Sunflora converts solar energy into nutrition. It moves around actively in the daytime when it is warm. It stops moving as soon as the sun goes down for the night.,,plant,yellow,grassland,humanoid
192,193,II,Yanma,Yanyanma,Clear Wing Pokémon,bug,flying,Yanma is capable of seeing 360 degrees without having to move its eyes. It is a great flier that is adept at making sudden stops and turning midair. This Pokémon uses its flying ability to quickly chase down targeted prey.,,bug,red,forest,bug-wings
193,194,II,Wooper,Upah,Water Fish Pokémon,water,ground,This Pokémon lives in cold water. It will leave the water to search for food when it gets cold outside.,,ground,blue,waters-edge,legs
194,195,II,Quagsire,Nuoh,Water Fish Pokémon,water,ground,It has an easygoing nature. It doesn’t care if it bumps its head on boats and boulders while swimming.,,ground,blue,waters-edge,upright
195,196,II,Espeon,Eifie,Sun Pokémon,psychic,,"By reading air currents, it can predict things such as the weather or its foe’s next move.",,ground,purple,urban,quadruped
196,197,II,Umbreon,Blacky,Moonlight Pokémon,dark,,"When this Pokémon becomes angry, its pores secrete a poisonous sweat, which it sprays at its opponent’s eyes.",,ground,black,urban,quadruped
197,198,II,Murkrow,Yamikarasu,Darkness Pokémon,dark,flying,It has a weakness for shiny things. It’s been known to sneak into the nests of Gabite—noted collectors of jewels—in search of treasure.,,flying,black,forest,wings
198,199,II,Slowking,Yadoking,Royal Pokémon,water,psychic,"Miraculously, this former Slowpoke’s latent intelligence was drawn out when Shellder poison raced through its brain.",,water1,pink,waters-edge,upright
199,200,II,Misdreavus,Muma,Screech Pokémon,ghost,,"What gives meaning to its life is surprising others. If you set your ear against the red orbs around its neck, you can hear shrieking.",,indeterminate,gray,cave,ball
200,201,II,Unown,Unknown,Symbol Pokémon,psychic,,"This Pokémon is shaped like ancient writing. It is a mystery as to which came first, the ancient writings or the various Unown. Research into this topic is ongoing but nothing is known.",,no-eggs,black,rare,ball
201,202,II,Wobbuffet,Sonans,Patient Pokémon,psychic,,"It hates light and shock. If attacked, it inflates its body to pump up its counterstrike.",,indeterminate,blue,cave,blob
202,203,II,Girafarig,Kirinriki,Long Neck Pokémon,normal,psychic,"Girafarig’s rear head also has a brain, but it is small. The rear head attacks in response to smells and sounds. Approaching this Pokémon from behind can cause the rear head to suddenly lash out and bite.",,ground,yellow,grassland,quadruped
203,204,II,Pineco,Kunugidama,Bagworm Pokémon,bug,,"Motionless, it hangs from trees, waiting for its bug Pokémon prey to come to it. Its favorite in Alola is Cutiefly.",,bug,gray,forest,ball
204,205,II,Forretress,Foretos,Bagworm Pokémon,bug,steel,"When something approaches it, it fires off fragments of its steel shell in attack. This is not a conscious action but a conditioned reflex.",,bug,purple,forest,ball
205,206,II,Dunsparce,Nokocchi,Land Snake Pokémon,normal,,This Pokémon’s tiny wings have some scientists saying that Dunsparce used to fly through the sky in ancient times.,,ground,yellow,cave,squiggle
206,207,II,Gligar,Gliger,Flyscorpion Pokémon,ground,flying,"Gligar glides through the air without a sound as if it were sliding. This Pokémon hangs on to the face of its foe using its clawed hind legs and the large pincers on its forelegs, then injects the prey with its poison barb.",,bug,purple,mountain,wings
207,208,II,Steelix,Haganeil,Iron Snake Pokémon,steel,ground,"It is said that if an Onix lives for over 100 years, its composition changes to become diamond-like.",,mineral,gray,cave,squiggle
208,209,II,Snubbull,Bulu,Fairy Pokémon,fairy,,It grows close to others easily and is also easily spoiled. The disparity between its face and its actions makes many young people wild about it.,,fairy,pink,urban,humanoid
209,210,II,Granbull,Granbulu,Fairy Pokémon,fairy,,"While it has powerful jaws, it doesn’t care for disputes, so it rarely has a chance to display their might.",,fairy,purple,urban,upright
210,211,II,Qwilfish,Harysen,Balloon Pokémon,water,poison,"When faced with a larger opponent, it swallows as much water as it can to match the opponent’s size.",,water2,gray,sea,fish
211,212,II,Scizor,Hassam,Pincer Pokémon,bug,steel,Bulky pincers account for one third of Scizor’s body weight. A single swing of one of these pincers will crush a boulder completely.,,bug,red,grassland,bug-wings
212,213,II,Shuckle,Tsubotsubo,Mold Pokémon,bug,rock,"It stores berries inside its shell. To avoid attacks, it hides beneath rocks and remains completely still.",,bug,yellow,mountain,armor
213,214,II,Heracross,Heracros,Singlehorn Pokémon,bug,fighting,Heracross loves sweet sap and will go looking through forests for it. The Pokémon uses its two antennae to pick up scents as it searches.,,bug,blue,forest,humanoid
214,215,II,Sneasel,Nyula,Sharp Claw Pokémon,dark,ice,"Its paws conceal sharp claws. If attacked, it suddenly extends the claws and startles its enemy.",,ground,black,forest,upright
215,216,II,Teddiursa,Himeguma,Little Bear Pokémon,normal,,This Pokémon likes to lick its palms that are sweetened by being soaked in honey. Teddiursa concocts its own honey by blending fruits and pollen collected by Beedrill.,,ground,brown,mountain,upright
216,217,II,Ursaring,Ringuma,Hibernator Pokémon,normal,,"In the forests inhabited by Ursaring, it is said that there are many streams and towering trees where they gather food. This Pokémon walks through its forest gathering food every day.",,ground,brown,mountain,upright
217,218,II,Slugma,Magmag,Lava Pokémon,fire,,"Molten magma courses throughout Slugma’s circulatory system. If this Pokémon is chilled, the magma cools and hardens. Its body turns brittle and chunks fall off, reducing its size.",,indeterminate,red,mountain,squiggle
218,219,II,Magcargo,Magcargot,Lava Pokémon,fire,rock,Magcargo’s shell is actually its skin that hardened as a result of cooling. Its shell is very brittle and fragile—just touching it causes it to crumble apart. This Pokémon returns to its original size by dipping itself in magma.,,indeterminate,red,mountain,squiggle
